date,BagQty,ItemQty,PackQty,PatientQty,month,weekday
1946-09-30,902.0487395488988,2711.033645155965,3963.8169101062012,782.128757792367,September,Monday
1946-10-31,985.9159777753948,2716.499612526638,4140.8115476992125,740.9574402746621,October,Thursday
1946-11-30,974.498266212795,2572.6648781455747,4112.118382644027,744.9927061793934,November,Saturday
1946-12-31,1002.9777923667805,2579.300469846276,4220.811159548275,699.8398967477527,December,Tuesday
1947-01-31,864.0706840360159,2822.1041483560816,4083.1466531056494,730.6570725934737,January,Friday
1947-02-28,873.7450192489648,2678.9401288002164,3679.3667246790487,716.296337924602,February,Friday
1947-03-31,873.8879488323962,2649.6345352416565,3934.385720859309,709.6919158221623,March,Monday
1947-04-30,1015.2972730325363,2644.6467426278027,3956.7634492720154,764.3365389634856,April,Wednesday
1947-05-31,998.8475864706197,2623.475368120314,4099.767983427437,723.7038808291735,May,Saturday
1947-06-30,1018.8356859250423,2815.84633414588,4098.09972574177,725.9538940646383,June,Monday
1947-07-31,1006.3813414742106,2550.794631407575,3732.8153622879727,728.5185153008592,July,Thursday
1947-08-31,1009.8164231404696,2831.7909643802795,4231.670446667426,680.0467933401624,August,Sunday
1947-09-30,860.1555476752357,2767.1530173630417,4093.6714574639896,762.5927644717735,September,Tuesday
1947-10-31,959.5542137168198,2649.2336545560074,4086.8733806283276,774.8065021481844,October,Friday
1947-11-30,978.4990750729468,2849.7390878182327,4155.459916005444,684.6158388736263,November,Sunday
1947-12-31,995.8678710491372,2825.8347141055237,4012.0732695783354,717.1221789239297,December,Wednesday
1948-01-31,1020.0981035064667,2722.8396636135944,4239.392558318803,688.5414590836477,January,Saturday
1948-02-29,951.5447915227138,2834.9536153663094,3729.0340498567584,721.4966520254342,February,Sunday
1948-03-31,942.9418811793089,2470.811369064638,3642.097396684164,779.386755782691,March,Wednesday
1948-04-30,866.9278451010731,2468.392049944874,4013.620472251505,789.4364068799501,April,Friday
1948-05-31,1002.5702968955666,2536.7024007521204,3833.8083657365037,698.2375922076026,May,Monday
1948-06-30,978.8545773479066,2845.829611908392,3878.4662221409744,708.2110749818601,June,Wednesday
1948-07-31,978.1738959573828,2425.3148745463614,3682.2589354244756,694.3377448266715,July,Saturday
1948-08-31,1015.7536589221608,2503.850021759372,3711.096363509161,757.9577498860423,August,Tuesday
1948-09-30,974.0617783000375,2777.210329305433,3946.7943785920233,754.0349275441233,September,Thursday
1948-10-31,848.9356481425459,2564.727389206329,4246.6191538333005,773.7959321358296,October,Sunday
1948-11-30,980.5595552346538,2595.09984557886,3957.976040186409,685.1628875232057,November,Tuesday
1948-12-31,943.7891049013994,2817.407505249894,4104.682416688649,753.8844436911933,December,Friday
1949-01-31,929.0278178370663,2454.06881429569,4205.771993444452,687.2494644665182,January,Monday
1949-02-28,959.1221985481877,2452.787624648144,3887.6277148273366,714.8860677388783,February,Monday
1949-03-31,981.4356006408923,2459.1444355379163,3819.2809431432224,714.2434822631938,March,Thursday
1949-04-30,955.515700747805,2651.328589631399,3657.6980687530745,726.663231660758,April,Saturday
1949-05-31,863.4083530644881,2674.794907541751,3964.640571239267,692.8985638921765,May,Tuesday
1949-06-30,1004.7796351622642,2644.0984683731067,3877.6559833793103,721.0937708421984,June,Thursday
1949-07-31,968.3181133665819,2616.6093009967967,4084.071016710094,740.9648909952043,July,Sunday
1949-08-31,857.1442560113348,2499.516657640088,3632.662820654984,732.2781366485767,August,Wednesday
1949-09-30,1001.9774894106838,2810.479622461683,3960.2779748082585,719.5536171765993,September,Friday
1949-10-31,859.4452465661418,2785.049529128728,4035.1198345957755,740.751896609385,October,Monday
1949-11-30,922.8068740088062,2819.049554163605,4139.488677694701,742.5943310350877,November,Wednesday
1949-12-31,984.9044712425148,2444.328637910335,3891.090268582669,677.9262328964047,December,Saturday
1950-01-31,928.665503483766,2486.700253240928,4051.8089976909396,773.2586885612366,January,Tuesday
1950-02-28,885.4460240169343,2581.511706117399,3702.6503230040666,773.4667797067342,February,Tuesday
1950-03-31,987.2775459635865,2768.6796049258273,4189.688183620958,717.3746771047673,March,Friday
1950-04-30,1018.6994137372606,2796.9075199650706,3821.059148448247,704.746217703242,April,Sunday
1950-05-31,869.0045237517064,2798.8487472871216,3695.4130406124746,778.1327186807392,May,Wednesday
1950-06-30,945.4733007009486,2526.7161115777835,3649.7293911388465,714.3549249695619,June,Friday
1950-07-31,973.4272092528854,2443.3900983134463,4251.567586259603,754.1607926307391,July,Monday
1950-08-31,958.5692912507856,2591.804578609043,4160.213619556606,742.9253895510004,August,Thursday
1950-09-30,867.2084668368618,2792.8521994971675,3802.15380845377,744.4011271849006,September,Saturday
1950-10-31,939.5855124672948,2816.0524321016446,4040.5047259740013,771.396151013383,October,Tuesday
1950-11-30,962.6941539593757,2493.766145663344,4215.257507171926,736.3802385153178,November,Thursday
1950-12-31,863.302448605779,2758.0032680418035,3721.331483044106,759.0717467303525,December,Sunday
1951-01-31,942.668611474525,2540.1248376767926,3711.3086701717934,723.3192457607512,January,Wednesday
1951-02-28,897.5647825837698,2493.902691733521,3642.172772822263,776.4646675914877,February,Wednesday
1951-03-31,995.3215709014294,2808.7308495956113,4184.225443824823,761.3796008582293,March,Saturday
1951-04-30,979.3913588717154,2427.7914263537655,3861.0591179583475,710.6755815765151,April,Monday
1951-05-31,977.5645706026322,2439.608007148615,3847.2783970726873,782.19273388783,May,Thursday
1951-06-30,844.7247856380789,2823.384597813023,4218.329386239511,770.1364744859939,June,Saturday
1951-07-31,899.2936671615188,2796.422126476814,4163.551207563297,736.5130974510041,July,Tuesday
1951-08-31,984.0335899323466,2812.7066631892303,3852.5017356049434,702.2419807273571,August,Friday
1951-09-30,872.0399354954722,2657.29415322198,4230.00719900669,718.3489544792415,September,Sunday
1951-10-31,1016.1199956763312,2793.384833956089,3940.7696601735893,736.4385321663168,October,Wednesday
1951-11-30,844.4852899032427,2698.9039372887332,3731.0780955246955,749.1038189959253,November,Friday
1951-12-31,884.9989041964817,2494.024610364025,3901.0314143935216,720.3187723006084,December,Monday
1952-01-31,953.9197081365721,2801.321977029828,3915.628169067382,705.2849320429926,January,Thursday
1952-02-29,998.4073194234908,2848.5090481027955,4054.6184555878717,684.3499770827465,February,Friday
1952-03-31,949.6794359827586,2457.580119282269,4073.711657983562,737.8200258630884,March,Monday
1952-04-30,1020.2048024730708,2604.565711425575,3785.928853701938,783.0961552732074,April,Wednesday
1952-05-31,891.3406862139076,2724.448837665467,3826.913793354602,777.6383511271961,May,Saturday
1952-06-30,864.5519350116728,2629.155922209605,4000.4570871553947,693.8140886645825,June,Monday
1952-07-31,886.6387598242062,2821.858114013825,3640.6055442467427,688.9745928145356,July,Thursday
1952-08-31,962.7942889604567,2722.508064834645,3759.592122415266,763.1606437809849,August,Sunday
1952-09-30,857.7607240872724,2652.4470941451336,4052.785597370922,714.9801506367717,September,Tuesday
1952-10-31,946.2850058205918,2679.7913308810016,3788.8736968578264,691.5454815458959,October,Friday
1952-11-30,854.9590306501319,2572.8438319348124,3895.138134426283,766.4081342340729,November,Sunday
1952-12-31,871.5819746291806,2667.775830992826,4158.457320020123,716.7274440233585,December,Wednesday
1953-01-31,1016.7372014503694,2736.1470396569666,3938.8387327465207,767.2480309593008,January,Saturday
1953-02-28,884.134896678679,2500.290817949752,3787.1155552946434,710.6377403466215,February,Saturday
1953-03-31,857.1815304108998,2531.927861147505,4009.3699842755673,762.1729137747183,March,Tuesday
1953-04-30,902.179840959861,2492.233176242437,4065.932391432642,701.8798024115155,April,Thursday
1953-05-31,946.7013974326321,2563.8149682498324,3763.480437922182,686.4780693285919,May,Sunday
1953-06-30,856.8103369328402,2500.1763042943653,4136.3335955518905,714.9564042468355,June,Tuesday
1953-07-31,924.4734589542612,2432.7944853537165,3812.8687132103323,713.5125558443416,July,Friday
1953-08-31,839.8079267311838,2651.8345180694,4237.053204773532,755.4056753177259,August,Monday
1953-09-30,977.6825402026165,2691.9841810347166,3823.4783187952703,768.7328993578411,September,Wednesday
1953-10-31,904.5446480075442,2568.908805449075,4116.772707687037,770.9510535021071,October,Saturday
1953-11-30,969.7665409220501,2426.190347418224,3895.473386433509,684.6219430989246,November,Monday
1953-12-31,940.0326161431248,2525.5312650479145,3757.174428416685,697.4172605409875,December,Thursday
1954-01-31,918.8377473730553,2489.3191234369406,3737.6482664646783,770.9869618133445,January,Sunday
1954-02-28,843.8799386538743,2818.403356968443,4095.4947248509434,728.063660631238,February,Sunday
1954-03-31,955.7839623251151,2803.7161019805603,3853.4624903378394,716.6906978866416,March,Wednesday
1954-04-30,1016.583813673579,2779.3681070208336,3717.491982795497,749.231687353926,April,Friday
1954-05-31,849.8730529393041,2728.790069936287,4066.2194837351244,684.2598851810302,May,Monday
1954-06-30,935.041696283554,2717.474475231515,4079.5032538505357,786.3294032437706,June,Wednesday
1954-07-31,839.3664336796164,2778.016196562917,4138.1523627838915,777.0475366970654,July,Saturday
1954-08-31,890.7258556892968,2734.1184432269865,4045.215375023956,708.3346144015353,August,Tuesday
1954-09-30,967.8293832593185,2684.7105290848613,3970.6404749665003,771.066967808413,September,Thursday
1954-10-31,884.7017839899598,2654.26818594733,3803.8215897719138,708.4240489732929,October,Sunday
1954-11-30,898.1890914290029,2681.471211580054,3660.849305270686,699.1534689203581,November,Tuesday
1954-12-31,853.3274420410984,2589.8331064586073,4086.24870495064,782.0723531406474,December,Friday
1955-01-31,871.1171261371636,2817.7466286231293,4231.731563514972,683.8367025747816,January,Monday
1955-02-28,996.0287740929994,2846.183495314247,4171.748682753576,765.9016779603406,February,Monday
1955-03-31,873.7485728288308,2818.0482276216135,3837.067062668062,788.8739071907688,March,Thursday
1955-04-30,884.8500147069934,2562.3921380653965,4238.631712364283,696.9127086009044,April,Saturday
1955-05-31,1018.5737895040886,2740.657953370247,4026.1221106272933,761.9225970182982,May,Tuesday
1955-06-30,944.8140825761634,2579.0614251977777,4009.829344370083,754.0864430565758,June,Thursday
1955-07-31,923.3579295683093,2795.749600884672,3908.5370046927496,762.8278898124183,July,Sunday
1955-08-31,959.5088739282927,2778.94115315504,4158.728299100179,775.101806563137,August,Wednesday
1955-09-30,912.9771093863128,2811.213914593459,4094.06139289549,760.0476291680654,September,Friday
1955-10-31,956.6568143162553,2505.634611657552,3733.4926812791973,723.6071974813286,October,Monday
1955-11-30,961.1923865618221,2837.690405734026,3976.07312197607,676.6812572205333,November,Wednesday
1955-12-31,966.0706504879737,2545.906872171997,4025.711351020104,688.3480263848794,December,Saturday
1956-01-31,872.0221439131714,2724.431250308665,3643.423152366158,758.8613425751336,January,Tuesday
1956-02-29,941.4126456793258,2610.7229811123116,4263.95492402029,783.7529222384925,February,Wednesday
1956-03-31,977.5641575425283,2489.178253269222,3856.377805530049,695.3810336765052,March,Saturday
1956-04-30,959.3819379833905,2457.656094254408,3988.5323056577545,742.1633941812288,April,Monday
1956-05-31,898.2261278012851,2779.4732632254063,3725.2303355584627,712.1132017194105,May,Thursday
1956-06-30,953.1273364159572,2454.6452806557945,4016.036786423158,746.655369424341,June,Saturday
1956-07-31,875.8347594132736,2809.1825377515456,4134.376277760542,767.3820355853779,July,Tuesday
1956-08-31,922.1146948938738,2516.07619818219,4022.9923658412,712.2681676384601,August,Friday
1956-09-30,1009.1013954704052,2815.4649630950325,4218.0519525193895,700.5067282963691,September,Sunday
1956-10-31,947.0299871335733,2848.0006569989973,4164.2537099151705,777.1925098930005,October,Wednesday
1956-11-30,917.5573046461884,2437.65476418197,3989.4534478561636,720.4804571551524,November,Friday
1956-12-31,890.1624145940409,2688.663734544824,4069.864411448655,730.1145477286577,December,Monday
1957-01-31,991.691121561405,2824.1381784090922,4131.872268035141,708.2671664992652,January,Thursday
1957-02-28,929.9045802743532,2800.328520509103,3886.35648029668,774.7274362639682,February,Thursday
1957-03-31,1012.7333599728686,2820.194189157557,3765.8043465134924,685.2810714291752,March,Sunday
1957-04-30,930.3222071477062,2717.564886850125,3761.9542843573595,702.407540756043,April,Tuesday
1957-05-31,922.8485623929482,2608.4916073709755,4228.646159004981,785.997701445327,May,Friday
1957-06-30,862.7160838134864,2736.437165520176,4142.424714415987,738.0755475206058,June,Sunday
1957-07-31,980.0711226460596,2590.5754269937697,4245.661314860463,709.2714079832812,July,Wednesday
1957-08-31,876.584340380511,2704.155002024061,4202.02502818565,747.1249914694474,August,Saturday
1957-09-30,964.6570348842814,2509.5096139572042,3782.320797146576,708.4930319844161,September,Monday
1957-10-31,890.3548110336112,2768.6796049258273,3974.0160383824536,714.4168839992343,October,Thursday
1957-11-30,937.922220910918,2830.6928198279697,4128.210554719647,680.1135316711402,November,Saturday
1957-12-31,967.2780957422043,2803.711237026446,3637.4842413549604,729.7542949533944,December,Tuesday
1958-01-31,933.9631958201015,2707.823867398883,3816.7408471346357,711.2087624039754,January,Friday
1958-02-28,849.9710162005722,2796.2065619910873,4200.674744460502,760.5298393381023,February,Friday
1958-03-31,951.0434013013332,2617.768805713052,3919.771307236725,746.7080915043671,March,Monday
1958-04-30,924.5138755452543,2780.2248437294706,3937.7530368087237,737.1090412424902,April,Wednesday
1958-05-31,904.8078960851856,2459.1624919631327,3811.113452962448,733.3563351391236,May,Saturday
1958-06-30,1005.1554449295626,2799.4723344660174,4000.84150947571,780.1256596341835,June,Monday
1958-07-31,939.5346516100446,2632.883025473459,3801.939813603227,777.9972317899918,July,Thursday
1958-08-31,940.9267605580669,2789.97898814875,3801.3185617355334,740.8357733472686,August,Sunday
1958-09-30,856.3867177024165,2841.157345389668,4145.502260535239,708.5643381796999,September,Tuesday
1958-10-31,863.2302264762554,2850.1550370305085,4206.090749864687,708.4930319844161,October,Friday
1958-11-30,930.7634211337175,2690.353484777646,4092.99597514078,742.3831270711693,November,Sunday
1958-12-31,877.5032918844463,2537.8851613957413,3862.1094921659037,773.8010358340173,December,Wednesday
1959-01-31,966.7335646518383,2612.289202509255,4096.430669736367,724.7355311238899,January,Saturday
1959-02-28,906.6650803611275,2524.850584748973,3716.509612888514,716.1813136369746,February,Saturday
1959-03-31,844.4961250627885,2490.9052810261874,3978.1158109301705,694.8414842763352,March,Tuesday
1959-04-30,976.9159378967665,2525.5312650479145,4218.2074488684575,740.5114735550801,April,Thursday
1959-05-31,850.0882807548559,2576.326421107735,3959.977855626982,678.5285082160389,May,Sunday
1959-06-30,857.4700097522042,2469.2391070910658,3739.9024908226525,694.5827089135942,June,Tuesday
1959-07-31,900.8608400247768,2604.528513971058,4156.103424374465,783.8107334980438,July,Friday
1959-08-31,891.6134061809119,2660.5146575670046,3680.9685884066153,724.0990219492114,August,Monday
1959-09-30,959.9823610240431,2847.202565516717,3900.837448397358,733.4836503481401,September,Wednesday
1959-10-31,885.5414504063218,2604.146816922384,4038.4506699392955,745.4813911601209,October,Saturday
1959-11-30,1018.2351263792784,2490.281517576188,4105.682359644364,731.8094948593941,November,Monday
1959-12-31,1022.0802857253144,2504.248883808734,3823.561703265353,765.4243604355911,December,Thursday
1960-01-31,844.4961250627885,2817.7466286231293,4268.589658541832,734.5669164705746,January,Sunday
1960-02-29,885.6787037545082,2598.6048688891324,3905.1177056896404,750.193733314289,February,Monday
1960-03-31,982.5377742592937,2635.9466478504587,3851.3768272299476,727.2432987011332,March,Thursday
1960-04-30,1020.1449382762598,2726.6726522525896,4036.5852052592118,708.2124182999381,April,Saturday
1960-05-31,984.716107882683,2605.234064388143,3829.145303109447,759.7209395150061,May,Tuesday
1960-06-30,862.4162102304584,2612.8073109495767,3957.080190597537,676.4547270181839,June,Thursday
1960-07-31,846.5398268912821,2607.149942767065,3808.863532771677,698.4786429228019,July,Sunday
1960-08-31,917.8915269158197,2799.614238348692,4197.285640706026,719.9319632710211,August,Wednesday
1960-09-30,958.7569107816735,2539.757753722286,3756.4106977683696,677.5223525652514,September,Friday
1960-10-31,953.6281994239001,2719.001724288863,3692.798215830339,764.7255700018478,October,Monday
1960-11-30,846.3452721691766,2528.1151647822003,4202.327347623318,698.7308017569021,November,Wednesday
1960-12-31,889.5600135196144,2494.1766611578087,3652.410104729344,721.0067590790505,December,Saturday
1961-01-31,843.273468488353,2602.9910051694037,4149.817212806202,744.9170234041866,January,Tuesday
1961-02-28,851.0120061210589,2681.943626946546,4182.976417998845,692.8189252458907,February,Tuesday
1961-03-31,904.7830413854218,2798.2542090347924,3776.623361023962,732.106584783108,March,Friday
1961-04-30,902.5458059843378,2440.546312833416,3787.546507716097,707.9449429745162,April,Sunday
1961-05-31,839.1035444787191,2663.6777833106794,3742.1941690432536,780.5406978152422,May,Wednesday
1961-06-30,915.5031656198554,2616.6093009967967,3818.645704044568,734.0607704160889,June,Friday
1961-07-31,932.4353166894108,2471.9138526942484,3982.652569839431,783.0373900514986,July,Monday
1961-08-31,890.5856976104915,2729.7921244623494,4236.250937670849,781.4441123224306,August,Thursday
1961-09-30,909.3343368907882,2830.4239941303717,3698.54712287961,723.5464453427135,September,Saturday
1961-10-31,930.4567552487181,2780.176005481368,4253.41134751287,692.9603418149034,October,Tuesday
1961-11-30,872.1436659056918,2487.3954783090735,4180.889335651725,683.7736239144759,November,Thursday
1961-12-31,1010.583557188372,2439.8316959503527,3964.3713002731733,786.3366406053898,December,Sunday
1962-01-31,943.6733533924933,2641.10111231199,3672.5467599527155,740.9687939033029,January,Wednesday
1962-02-28,894.4162892719185,2521.943819361255,3951.073565204802,739.3002739486141,February,Wednesday
1962-03-31,966.1453654033819,2837.659472793847,4173.267844318843,779.2222443800339,March,Saturday
1962-04-30,847.1460810093756,2463.432667440927,4017.7334836579585,694.0857312634104,April,Monday
1962-05-31,987.2124685715098,2693.767664287661,3903.3629279784036,755.850022592911,May,Thursday
1962-06-30,871.529529402098,2687.2980729408764,3928.1253992321285,677.8136769477861,June,Saturday
1962-07-31,864.3553298878724,2724.3182795931552,3971.5697365795395,789.7685176142863,July,Tuesday
1962-08-31,898.7858498521521,2726.4083283476793,4175.0684388282225,692.5193262074978,August,Friday
1962-09-30,911.5458613139366,2602.169574290888,4131.859727331519,701.7571288101279,September,Sunday
1962-10-31,839.1566499393543,2555.178286330262,3717.6445129041367,768.7544146951567,October,Wednesday
1962-11-30,931.8423851714135,2511.855374917422,3802.413772013757,781.790980136846,November,Friday
1962-12-31,1016.4715561045439,2493.854258689016,4081.867369003972,692.4632057610334,December,Monday
1963-01-31,896.0583702575171,2438.460995790196,4049.7296144131797,753.3577620259393,January,Thursday
1963-02-28,977.3818872462516,2425.046946395175,3994.6417612735727,743.6080439992841,February,Thursday
1963-03-31,992.8044773753386,2591.4093328251456,4096.407657963543,761.6501631526106,March,Sunday
1963-04-30,953.5940821207207,2689.569196035871,4223.088535898521,771.8234783963985,April,Tuesday
1963-05-31,892.371783752832,2581.1694447773807,3780.23163915866,736.2180405501359,May,Friday
1963-06-30,968.9229171661154,2703.6815776894005,3720.600099746899,782.8620823141644,June,Sunday
1963-07-31,912.1059337367054,2744.5435121146156,4165.737458333528,769.360062116104,July,Wednesday
1963-08-31,985.1340038296903,2582.624575083651,4008.957474845651,781.316051066722,August,Saturday
1963-09-30,924.0106551568714,2832.8203373219694,3883.842921296471,772.6906821987815,September,Monday
1963-10-31,881.6501726871364,2511.72335100867,3853.9699645317573,679.9457101472499,October,Thursday
1963-11-30,1002.4408056861582,2519.2788885186924,3774.120740325041,689.5659954223696,November,Saturday
1963-12-31,936.0899828954927,2472.7441206568756,3687.689811384237,700.5569131522009,December,Tuesday
1964-01-31,898.6507611804294,2830.657514383197,4059.1827784488596,758.5997691871869,January,Friday
1964-02-29,845.9106805805433,2823.5430533820945,4201.456806813743,713.8000754885627,February,Saturday
1964-03-31,987.2310130132532,2458.9187496810437,3828.949960046667,725.1119529826503,March,Tuesday
1964-04-30,932.0455812067717,2593.6147395781663,3912.9238622323555,711.7704895005756,April,Thursday
1964-05-31,890.7607542925488,2736.437165520176,3684.032905793008,726.9276020580638,May,Sunday
1964-06-30,994.9177999912682,2452.416278942224,4183.309431196758,751.350829947678,June,Tuesday
1964-07-31,904.736508648734,2484.6626214197395,3641.7695166276803,727.8861704944105,July,Friday
1964-08-31,858.8849828416224,2622.6643620836294,4018.5831600653223,742.0604305041572,August,Monday
1964-09-30,958.8961220009488,2534.649135686115,4118.7762861751635,692.6824233338349,September,Wednesday
1964-10-31,856.6585863318855,2748.3539506230204,3885.090614942653,692.4917654048555,October,Saturday
1964-11-30,897.8166939220818,2775.0570250912324,4114.169742786742,742.4262790275819,November,Monday
1964-12-31,950.6181914219047,2601.5068889481795,3933.483509525277,684.9310802814734,December,Thursday
1965-01-31,892.2622397376123,2774.446652187364,3814.9674372783334,754.5123316142601,January,Sunday
1965-02-28,945.8136019252584,2588.5159031135536,4220.811159548275,776.5172828281969,February,Sunday
1965-03-31,932.4809519267408,2468.504118167539,3855.958828644654,715.9831621860287,March,Wednesday
1965-04-30,1003.7976307309654,2728.1448010865374,4074.7740164545085,735.7905328143373,April,Friday
1965-05-31,850.9194730825452,2431.4930765320187,4106.388559758942,716.6529771544893,May,Monday
1965-06-30,964.7692865172482,2802.2563092447017,4071.820028628132,779.5741007040601,June,Wednesday
1965-07-31,890.7842965053075,2657.642785067848,4157.524392947038,738.1738718306316,July,Saturday
1965-08-31,1016.6536338149458,2607.0902415172286,3795.6489537742204,720.3729961734499,August,Tuesday
1965-09-30,900.3128414007889,2453.509725254907,3989.5052156257207,682.8312094465679,September,Thursday
1965-10-31,965.9845521411796,2743.887386892682,4002.0994062941054,788.3848388781063,October,Sunday
1965-11-30,855.2991993354976,2591.977535006253,3772.1782884832205,766.8459825144265,November,Tuesday
1965-12-31,927.283387181022,2616.2970589287797,3790.8960908129243,782.8143595925251,December,Friday
1966-01-31,958.1092942733869,2462.4874867557905,4184.332138030291,722.5013638843737,January,Monday
1966-02-28,879.0341221182078,2550.4286709106323,3992.5530459103675,763.1137570002993,February,Monday
1966-03-31,957.9077583012067,2812.035178824057,3985.124868282537,712.5983387661441,March,Thursday
1966-04-30,1005.0516119065503,2585.399519919859,4213.7041943991835,788.1525292772482,April,Saturday
1966-05-31,875.3678937817347,2663.3262439434484,4092.9632927599196,765.3814691505744,May,Tuesday
1966-06-30,897.1021067339547,2606.7808067291394,3927.1107376045593,701.1357137920276,June,Thursday
1966-07-31,935.2558339778801,2558.512691130311,3726.9883734168507,731.2977498053668,July,Sunday
1966-08-31,875.8111406499376,2477.945470420501,3893.636475187707,742.3800001383887,August,Wednesday
1966-09-30,920.4616605079102,2601.584400622167,4116.286190515348,770.3137428181631,September,Friday
1966-10-31,856.4292193533053,2811.4412390384186,4150.412597651803,689.7292439178746,October,Monday
1966-11-30,919.7875066899057,2739.306546220419,3967.731446779791,743.3757957051388,November,Wednesday
1966-12-31,870.7792741934887,2810.157036412647,4157.525231539102,683.0190027235366,December,Saturday
1967-01-31,959.9003401615201,2429.7241165353425,3653.5591559798695,702.2012762743483,January,Tuesday
1967-02-28,868.4428108163223,2710.498902908466,3795.6489537742204,701.2208765842205,February,Tuesday
1967-03-31,1012.4301848814762,2791.8373274389573,3950.798838684108,787.7442202225409,March,Friday
1967-04-30,869.0463061186289,2685.5731667128807,4224.6570665534355,722.0857924908305,April,Sunday
1967-05-31,972.695187581556,2626.035697381933,3916.0175821389244,693.0656037098307,May,Wednesday
1967-06-30,997.6618909893331,2689.0611240757435,3657.6980687530745,765.7227413979682,June,Friday
1967-07-31,917.2242835985419,2848.3683662474236,3792.508378003119,774.0778590922664,July,Monday
1967-08-31,967.1906377383582,2464.2652851812322,3728.278431148964,738.8129405794743,August,Thursday
1967-09-30,978.3498176723521,2737.9346411119,3664.385116559983,744.4193886546038,September,Saturday
1967-10-31,950.0283275110883,2787.615168631527,3771.5025022654463,745.7457184568085,October,Tuesday
1967-11-30,923.8049547319042,2772.870096222422,3827.954712823983,767.8586225136497,November,Thursday
1967-12-31,888.0843606050619,2470.263891948302,4086.8734210157922,762.1190449526084,December,Sunday
1968-01-31,991.1601866002602,2543.8677053988295,4061.400940415582,773.2866607783585,January,Wednesday
1968-02-29,908.0791916273116,2750.174287086351,3701.1462687072776,725.7106556092316,February,Thursday
1968-03-31,846.9885604993887,2441.290244695092,4138.395587373042,676.803953719401,March,Sunday
1968-04-30,847.5095424705969,2656.2053147381084,3842.587716961862,708.8485332696096,April,Tuesday
1968-05-31,1010.8233570221262,2605.8350358210114,3829.4773495681825,740.030186814681,May,Friday
1968-06-30,940.8542877714356,2481.3396494670433,3880.9209407336803,757.6980263171511,June,Sunday
1968-07-31,949.3468584788932,2777.5598861394287,3634.3464816037017,730.4234477273619,July,Wednesday
1968-08-31,989.7030739329678,2606.87729179742,3988.5883484547703,691.5966634030201,August,Saturday
1968-09-30,876.3904632616113,2516.319347929164,4221.431357580996,731.2039785047841,September,Monday
1968-10-31,856.4292193533053,2681.603942825634,3644.7746097056474,779.6249516983963,October,Thursday
1968-11-30,867.4746601978455,2730.6318071301775,3883.0665295933595,721.5800125165182,November,Saturday
1968-12-31,857.3163474798532,2516.413933312717,3721.2103652516175,680.9973826834173,December,Tuesday
1969-01-31,994.8054354468662,2573.350283876766,3863.4926227624283,761.9307118443975,January,Friday
1969-02-28,985.2872345927308,2788.0332361277733,4072.1113453315606,703.2758759366977,February,Friday
1969-03-31,1007.8427089958307,2657.6709859497532,4091.1733650348297,767.6579569581648,March,Monday
1969-04-30,854.441648946879,2547.608247399725,3779.293448906085,722.5605904605295,April,Wednesday
1969-05-31,930.3005478366433,2511.6719776815116,4155.584094431373,762.1398433805542,May,Saturday
1969-06-30,921.7064565891671,2433.7179656124504,3815.888667324397,789.5999553603168,June,Monday
1969-07-31,864.8278473218155,2573.711163171085,4091.7231151910914,701.5207736592184,July,Thursday
1969-08-31,857.459413480078,2837.1096108346337,4215.0684401749295,714.3612051004641,August,Sunday
1969-09-30,909.5441440975043,2479.2359408309944,4145.502260535239,715.8984260562518,September,Tuesday
1969-10-31,976.2490111420974,2556.56032526516,3632.662820654984,705.6086337751725,October,Friday
1969-11-30,845.2554158528873,2576.9132280516724,3750.9869561775076,753.2002027598219,November,Sunday
1969-12-31,1018.2351263792784,2641.7797155096696,4136.5489770590475,678.781079401099,December,Wednesday
1970-01-31,979.361580115829,2542.5015332638845,3640.6055442467427,731.9516586868742,January,Saturday
1970-02-28,953.3405078447304,2636.350204764536,3737.300779849949,709.4751180592214,February,Saturday
1970-03-31,907.1574561426661,2563.4967644603266,3651.350207371501,692.9114978403308,March,Tuesday
1970-04-30,921.805218334838,2425.2539625254612,3873.141786769931,740.8357733472686,April,Thursday
1970-05-31,944.8004006033536,2556.1466877278835,3937.855595088724,774.0262138105295,May,Sunday
1970-06-30,973.0974474205821,2587.193822569322,3985.4102759400207,698.1608620362066,June,Tuesday
1970-07-31,927.8818915902436,2767.624048698208,4172.673223356198,784.3366874317221,July,Friday
1970-08-31,981.1269816011395,2642.501969169952,4074.964504760589,688.655275487347,August,Monday
1970-09-30,888.4187361069663,2832.2954350786317,3928.6814713182684,712.5644156933275,September,Wednesday
1970-10-31,974.7633183630171,2434.600275379366,4083.04563855008,774.693246243394,October,Saturday
1970-11-30,902.3336479902944,2733.5094033241576,3820.984307926459,762.506967067755,November,Monday
1970-12-31,889.2805433678687,2428.7908138068883,4168.025214481504,780.7411930695273,December,Thursday
1971-01-31,918.7057518543547,2774.926303958484,3835.697314539808,759.170948542425,January,Sunday
1971-02-28,918.9942332797547,2705.021685942969,3700.0466923719036,683.9087451882284,February,Sunday
1971-03-31,949.3140822083382,2768.767965430366,3812.1067214967998,725.1481890053029,March,Wednesday
1971-04-30,938.1268910765957,2447.3493646692973,3825.683218480084,712.4415816358878,April,Friday
1971-05-31,884.7585466102574,2561.955217297236,3758.432676208687,698.5675533055066,May,Monday
1971-06-30,866.5712337534599,2849.9879282302045,4019.1586079143362,703.6134703763148,June,Wednesday
